time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz,talus_r_X,talus_r_Y,talus_r_Z,talus_r_Ox,talus_r_Oy,talus_r_Oz
0.085 sec,-4.273,128.846,30.518,6.68,-7.103,31.447,1.076,-1.141,7.715,2.152,-2.282,15.43,26.305,12.22,-12.811,205.504,-0.26,0.319,0.39,4.927,5.093,-30.589,-0.341,0.073,0.38,11.281,7.997,-6.934,-0.393,0.092,0.382,0.938,1.592,-4.582
0.086 sec,-3.433,128.117,30.48,6.664,-7.139,31.283,1.081,-1.149,7.677,2.162,-2.297,15.354,26.286,12.444,-21.623,205.615,-0.258,0.319,0.39,4.931,5.08,-30.943,-0.34,0.074,0.381,11.501,8.056,-7.359,-0.392,0.093,0.383,0.923,1.607,-4.953
0.087 sec,-2.664,127.396,30.418,6.646,-7.164,31.116,1.085,-1.155,7.638,2.17,-2.309,15.276,26.262,12.64,-29.306,205.707,-0.256,0.319,0.391,4.935,5.068,-31.251,-0.34,0.075,0.381,11.697,8.106,-7.737,-0.392,0.094,0.383,0.911,1.62,-5.283
0.088 sec,-1.845,126.54,30.286,6.622,-7.175,30.916,1.089,-1.16,7.594,2.179,-2.32,15.188,26.23,12.838,-37.017,205.805,-0.254,0.32,0.391,4.938,5.056,-31.557,-0.339,0.076,0.381,11.896,8.154,-8.122,-0.391,0.095,0.384,0.9,1.635,-5.62
0.089 sec,-0.991,125.591,30.104,6.595,-7.177,30.695,1.094,-1.165,7.545,2.187,-2.329,15.09,26.191,13.035,-44.667,205.917,-0.253,0.32,0.391,4.941,5.044,-31.858,-0.339,0.076,0.382,12.097,8.199,-8.509,-0.391,0.096,0.384,0.89,1.651,-5.959
0.09 sec,-0.133,124.584,29.893,6.565,-7.172,30.46,1.098,-1.169,7.493,2.196,-2.338,14.985,26.145,13.229,-52.228,206.042,-0.251,0.32,0.392,4.944,5.033,-32.154,-0.338,0.077,0.382,12.297,8.242,-8.896,-0.39,0.097,0.385,0.881,1.667,-6.298
0.091 sec,0.839,123.371,29.623,6.527,-7.159,30.176,1.103,-1.173,7.427,2.206,-2.345,14.853,26.084,13.452,-60.846,206.194,-0.249,0.321,0.392,4.946,5.019,-32.487,-0.338,0.078,0.383,12.529,8.288,-9.343,-0.39,0.099,0.386,0.871,1.687,-6.69
0.092 sec,1.74,122.168,29.35,6.488,-7.142,29.893,1.108,-1.176,7.356,2.217,-2.351,14.713,26.015,13.671,-69.245,206.337,-0.247,0.321,0.393,4.949,5.006,-32.81,-0.337,0.079,0.383,12.76,8.331,-9.788,-0.389,0.1,0.386,0.864,1.708,-7.08
0.093 sec,2.488,121,29.057,6.448,-7.112,29.616,1.113,-1.178,7.29,2.227,-2.355,14.58,25.947,13.863,-76.573,206.449,-0.245,0.321,0.393,4.95,4.994,-33.091,-0.337,0.079,0.384,12.965,8.366,-10.183,-0.388,0.101,0.387,0.858,1.727,-7.427
0.094 sec,3.239,119.739,28.717,6.405,-7.071,29.317,1.119,-1.179,7.218,2.237,-2.358,14.436,25.871,14.058,-83.987,206.555,-0.244,0.322,0.394,4.951,4.982,-33.372,-0.336,0.08,0.384,13.175,8.399,-10.587,-0.388,0.102,0.387,0.852,1.747,-7.782
0.095 sec,4.052,118.272,28.302,6.354,-7.016,28.969,1.125,-1.18,7.134,2.25,-2.36,14.267,25.779,14.275,-92.176,206.66,-0.242,0.322,0.394,4.952,4.969,-33.68,-0.336,0.081,0.385,13.411,8.432,-11.04,-0.387,0.103,0.388,0.848,1.77,-8.181
0.096 sec,4.817,116.786,27.881,6.302,-6.957,28.612,1.132,-1.18,7.044,2.264,-2.36,14.088,25.678,14.492,-100.332,206.739,-0.24,0.323,0.395,4.953,4.955,-33.985,-0.335,0.082,0.385,13.65,8.463,-11.497,-0.386,0.104,0.389,0.845,1.795,-8.584
0.097 sec,5.442,115.411,27.469,6.254,-6.892,28.28,1.138,-1.18,6.961,2.277,-2.359,13.922,25.582,14.683,-107.443,206.775,-0.238,0.323,0.396,4.953,4.944,-34.249,-0.335,0.083,0.386,13.861,8.487,-11.903,-0.386,0.105,0.389,0.843,1.817,-8.941
0.098 sec,6.123,113.801,26.957,6.199,-6.806,27.892,1.146,-1.178,6.863,2.293,-2.357,13.725,25.465,14.899,-115.451,206.784,-0.236,0.324,0.396,4.953,4.93,-34.544,-0.334,0.083,0.386,14.104,8.511,-12.366,-0.385,0.107,0.39,0.842,1.843,-9.35
0.099 sec,6.73,112.188,26.429,6.143,-6.713,27.503,1.155,-1.176,6.758,2.31,-2.353,13.516,25.339,15.118,-123.471,206.756,-0.234,0.324,0.397,4.952,4.917,-34.839,-0.334,0.084,0.387,14.352,8.533,-12.84,-0.384,0.108,0.391,0.842,1.87,-9.769
0.1 sec,7.182,110.701,25.93,6.091,-6.619,27.142,1.163,-1.174,6.665,2.327,-2.348,13.329,25.224,15.306,-130.268,206.682,-0.233,0.324,0.397,4.951,4.905,-35.089,-0.333,0.085,0.387,14.567,8.548,-13.25,-0.383,0.109,0.391,0.844,1.893,-10.131
