time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz
0.083 sec,-278.223,1075.387,-31.798,28.922,13.335,229.057,4.266,0.94,1.46,20.71,6.411,4.379,18.459,33.045,121.8,214.096,-0.311,0.306,0.427,5.696,-9.434,-16.489,-0.331,0.043,0.386,29.34,7.808,-1.904
0.084 sec,-276.421,1073.507,-28.89,28.702,13.602,229.051,4.318,0.963,1.481,21.033,6.577,4.483,18.583,33.255,120.327,196.293,-0.311,0.305,0.428,5.744,-9.55,-16.598,-0.331,0.042,0.386,29.531,7.812,-1.89
0.085 sec,-274.742,1071.289,-25.552,28.485,13.769,229.01,4.364,0.984,1.504,21.322,6.732,4.594,18.708,33.451,118.685,178.586,-0.31,0.305,0.428,5.795,-9.666,-16.709,-0.331,0.042,0.386,29.713,7.807,-1.873
0.086 sec,-273.353,1069.003,-22.075,28.288,13.801,228.935,4.399,1.001,1.526,21.551,6.861,4.699,18.821,33.615,117.043,162.843,-0.31,0.305,0.429,5.844,-9.77,-16.809,-0.331,0.042,0.386,29.869,7.796,-1.855
0.087 sec,-272.091,1066.673,-18.44,28.081,13.757,228.84,4.429,1.015,1.549,21.746,6.977,4.807,18.932,33.763,115.3,147.702,-0.309,0.304,0.429,5.895,-9.871,-16.907,-0.331,0.042,0.386,30.014,7.779,-1.835
0.088 sec,-270.747,1063.877,-14.193,27.844,13.618,228.685,4.455,1.029,1.576,21.923,7.09,4.93,19.052,33.91,113.213,131.524,-0.309,0.304,0.43,5.952,-9.98,-17.015,-0.331,0.042,0.386,30.163,7.752,-1.811
0.089 sec,-269.534,1060.871,-9.677,27.61,13.369,228.484,4.475,1.04,1.603,22.062,7.189,5.055,19.17,34.039,110.969,116.157,-0.309,0.304,0.43,6.011,-10.084,-17.121,-0.331,0.042,0.387,30.301,7.72,-1.786
0.09 sec,-268.446,1057.995,-5.429,27.377,13.075,228.262,4.489,1.048,1.63,22.159,7.268,5.174,19.277,34.146,108.714,102.358,-0.308,0.303,0.431,6.068,-10.179,-17.219,-0.331,0.042,0.387,30.421,7.684,-1.761
0.091 sec,-267.381,1054.939,-1.137,27.137,12.705,227.986,4.497,1.053,1.657,22.227,7.335,5.296,19.385,34.242,106.261,88.924,-0.308,0.303,0.431,6.127,-10.272,-17.318,-0.331,0.042,0.387,30.535,7.643,-1.735
0.092 sec,-266.452,1051.861,3.032,26.905,12.28,227.679,4.5,1.057,1.683,22.265,7.388,5.414,19.486,34.322,103.744,76.583,-0.307,0.303,0.432,6.186,-10.359,-17.413,-0.331,0.042,0.387,30.636,7.598,-1.71
0.093 sec,-265.586,1048.605,7.244,26.666,11.792,227.325,4.498,1.058,1.711,22.276,7.43,5.535,19.587,34.391,100.993,64.511,-0.307,0.303,0.432,6.247,-10.445,-17.509,-0.331,0.042,0.387,30.732,7.548,-1.685
0.094 sec,-264.811,1045.034,11.683,26.412,11.225,226.908,4.492,1.058,1.74,22.261,7.462,5.662,19.69,34.451,97.957,52.526,-0.307,0.302,0.433,6.311,-10.531,-17.609,-0.331,0.042,0.387,30.825,7.492,-1.658
0.095 sec,-264.125,1041.516,15.869,26.164,10.642,226.465,4.482,1.055,1.767,22.222,7.48,5.78,19.783,34.497,94.954,41.893,-0.306,0.302,0.433,6.373,-10.609,-17.702,-0.331,0.042,0.387,30.906,7.434,-1.634
0.096 sec,-263.43,1037.345,20.625,25.867,9.94,225.907,4.467,1.05,1.799,22.153,7.489,5.914,19.888,34.538,91.354,30.398,-0.306,0.302,0.433,6.445,-10.694,-17.807,-0.331,0.042,0.387,30.991,7.365,-1.607
0.097 sec,-262.924,1033.797,24.423,25.621,9.348,225.408,4.451,1.044,1.823,22.078,7.486,6.02,19.969,34.561,88.338,21.799,-0.305,0.302,0.434,6.504,-10.76,-17.891,-0.331,0.041,0.387,31.054,7.306,-1.587
0.098 sec,-262.376,1029.533,28.746,25.33,8.639,224.784,4.43,1.036,1.852,21.976,7.473,6.138,20.058,34.579,84.761,12.579,-0.305,0.301,0.434,6.571,-10.832,-17.986,-0.331,0.041,0.387,31.12,7.235,-1.565
0.099 sec,-261.89,1025.101,32.957,25.033,7.916,224.111,4.407,1.026,1.879,21.856,7.45,6.254,20.143,34.587,81.072,4.078,-0.305,0.301,0.434,6.639,-10.901,-18.08,-0.331,0.041,0.387,31.182,7.162,-1.545
0.1 sec,-261.471,1020.484,37.099,24.729,7.175,223.387,4.381,1.015,1.906,21.724,7.419,6.366,20.224,34.587,77.304,-3.68,-0.304,0.301,0.435,6.708,-10.966,-18.172,-0.331,0.041,0.386,31.238,7.087,-1.527
0.101 sec,-261.108,1015.988,40.859,24.438,6.478,222.662,4.355,1.004,1.931,21.588,7.383,6.467,20.297,34.581,73.694,-10.338,-0.304,0.301,0.435,6.772,-11.024,-18.258,-0.331,0.042,0.386,31.287,7.015,-1.512
0.102 sec,-260.779,1011.48,44.386,24.148,5.799,221.917,4.328,0.992,1.954,21.449,7.341,6.561,20.363,34.568,70.131,-16.208,-0.304,0.301,0.435,6.834,-11.077,-18.339,-0.331,0.042,0.386,31.331,6.944,-1.5
0.103 sec,-260.427,1006.142,48.29,23.81,5.022,221.012,4.297,0.977,1.98,21.281,7.287,6.665,20.436,34.548,65.98,-22.296,-0.303,0.301,0.436,6.905,-11.136,-18.431,-0.331,0.042,0.386,31.378,6.861,-1.489
0.104 sec,-260.11,1000.849,51.856,23.478,4.285,220.093,4.265,0.962,2.003,21.113,7.229,6.761,20.501,34.522,61.925,-27.521,-0.303,0.3,0.436,6.974,-11.189,-18.519,-0.331,0.042,0.386,31.421,6.779,-1.48
0.105 sec,-259.842,995.818,55.035,23.166,3.607,219.202,4.235,0.947,2.025,20.953,7.17,6.845,20.558,34.494,58.134,-31.835,-0.302,0.3,0.436,7.038,-11.235,-18.599,-0.331,0.042,0.386,31.458,6.703,-1.475
0.106 sec,-259.567,990.551,58.093,22.844,2.931,218.251,4.205,0.931,2.045,20.787,7.106,6.927,20.612,34.462,54.235,-35.719,-0.302,0.3,0.437,7.103,-11.281,-18.679,-0.331,0.042,0.386,31.495,6.624,-1.473
0.107 sec,-259.28,984.778,61.149,22.496,2.231,217.192,4.172,0.914,2.066,20.609,7.033,7.009,20.666,34.423,50.039,-39.355,-0.302,0.3,0.437,7.173,-11.326,-18.764,-0.331,0.042,0.386,31.532,6.54,-1.473
0.108 sec,-259.035,979.455,63.734,22.179,1.618,216.2,4.142,0.898,2.084,20.447,6.965,7.079,20.711,34.385,46.25,-42.19,-0.301,0.3,0.437,7.235,-11.366,-18.84,-0.331,0.042,0.386,31.564,6.463,-1.476
0.109 sec,-258.792,973.793,66.233,21.847,1.001,215.131,4.111,0.881,2.102,20.281,6.892,7.147,20.753,34.343,42.308,-44.702,-0.301,0.3,0.437,7.3,-11.404,-18.917,-0.331,0.042,0.386,31.597,6.384,-1.481
0.11 sec,-258.517,967.322,68.773,21.473,0.345,213.892,4.077,0.862,2.12,20.096,6.807,7.218,20.797,34.293,37.889,-47.067,-0.301,0.3,0.438,7.373,-11.445,-19.002,-0.331,0.042,0.386,31.634,6.294,-1.491
0.111 sec,-258.28,961.403,70.805,21.139,-0.207,212.743,4.048,0.845,2.135,19.934,6.73,7.277,20.831,34.247,33.998,-48.78,-0.3,0.3,0.438,7.437,-11.48,-19.077,-0.331,0.042,0.386,31.666,6.215,-1.503
0.112 sec,-258,953.827,72.754,20.743,-0.783,211.234,4.015,0.826,2.151,19.754,6.64,7.338,20.867,34.192,29.644,-50.354,-0.3,0.3,0.438,7.51,-11.517,-19.161,-0.331,0.042,0.386,31.702,6.124,-1.52
0.113 sec,-257.705,947.237,74.173,20.407,-1.236,209.902,3.988,0.809,2.164,19.606,6.564,7.385,20.892,34.145,26.037,-51.374,-0.3,0.3,0.439,7.572,-11.547,-19.231,-0.331,0.042,0.386,31.733,6.049,-1.537
0.114 sec,-257.358,939.837,75.471,20.036,-1.694,208.394,3.959,0.791,2.177,19.445,6.477,7.432,20.917,34.091,22.079,-52.229,-0.299,0.3,0.439,7.64,-11.578,-19.307,-0.331,0.042,0.386,31.768,5.964,-1.559
0.115 sec,-257.017,932.507,76.57,19.676,-2.116,206.889,3.931,0.773,2.188,19.293,6.393,7.474,20.938,34.037,18.272,-52.797,-0.299,0.3,0.439,7.707,-11.607,-19.381,-0.33,0.042,0.386,31.803,5.882,-1.584
0.116 sec,-256.696,925.894,77.343,19.355,-2.458,205.523,3.907,0.757,2.197,19.161,6.316,7.508,20.953,33.989,14.913,-53.117,-0.299,0.3,0.439,7.767,-11.632,-19.446,-0.33,0.042,0.386,31.835,5.809,-1.609
0.117 sec,-256.351,919.015,77.975,19.028,-2.782,204.094,3.883,0.741,2.206,19.03,6.237,7.538,20.966,33.938,11.512,-53.273,-0.298,0.3,0.44,7.828,-11.657,-19.512,-0.33,0.043,0.386,31.868,5.734,-1.637
0.118 sec,-255.966,911.697,78.492,18.687,-3.097,202.566,3.859,0.724,2.214,18.897,6.154,7.567,20.976,33.885,8.003,-53.276,-0.298,0.3,0.44,7.893,-11.682,-19.581,-0.33,0.043,0.386,31.905,5.655,-1.669
0.119 sec,-255.531,904.022,78.799,18.335,-3.383,200.955,3.835,0.706,2.221,18.764,6.067,7.592,20.982,33.828,4.43,-53.135,-0.297,0.3,0.44,7.961,-11.706,-19.652,-0.33,0.043,0.386,31.944,5.573,-1.706
0.12 sec,-255.11,896.552,78.974,18.002,-3.636,199.379,3.813,0.689,2.227,18.641,5.984,7.612,20.985,33.774,1.067,-52.881,-0.297,0.3,0.441,8.026,-11.729,-19.72,-0.33,0.043,0.386,31.983,5.495,-1.744
0.121 sec,-254.661,889.276,78.981,17.685,-3.847,197.837,3.793,0.673,2.232,18.528,5.903,7.628,20.984,33.721,-2.091,-52.543,-0.297,0.3,0.441,8.089,-11.751,-19.785,-0.33,0.043,0.386,32.021,5.419,-1.783
