time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz,talus_r_X,talus_r_Y,talus_r_Z,talus_r_Ox,talus_r_Oy,talus_r_Oz
0.039 sec,-271.542,1268.776,116.542,19.831,-9.188,223.391,-1.62,-0.484,1.287,0,-0,-0,7.63,-8.24,315.124,-236.562,-0.355,0.322,0.372,4.452,7.033,-7.856,-0.337,0.051,0.364,-2.906,0.733,1.081,-0.391,0.062,0.356,3.554,5.766,-0.285
0.04 sec,-320.503,1109.341,89.842,15.99,-5.383,217.839,-1.673,-0.499,1.353,0,-0,-0,7.92,-8.457,297.712,-220.493,-0.354,0.322,0.372,4.483,7.196,-8.246,-0.337,0.051,0.364,-3.093,0.728,1.025,-0.391,0.062,0.356,3.544,5.885,-0.384
0.041 sec,-349.933,1040.704,71.817,13.993,-3.103,215.791,-1.725,-0.513,1.417,0,-0,-0,8.199,-8.662,282.552,-206.848,-0.352,0.322,0.371,4.516,7.342,-8.632,-0.337,0.051,0.364,-3.267,0.717,0.959,-0.391,0.062,0.356,3.539,5.989,-0.49
0.042 sec,-366.405,1014.496,63.483,12.99,-1.849,215.251,-1.774,-0.527,1.481,0,-0,-0,8.471,-8.86,269.115,-194.917,-0.35,0.322,0.371,4.554,7.472,-9.016,-0.337,0.051,0.364,-3.433,0.697,0.885,-0.391,0.063,0.356,3.538,6.079,-0.601
0.043 sec,-375.741,1004.676,62.431,12.372,-1.111,215.197,-1.825,-0.541,1.547,0,-0,-0,8.748,-9.059,256.698,-183.782,-0.348,0.322,0.371,4.598,7.589,-9.414,-0.337,0.052,0.363,-3.595,0.665,0.801,-0.391,0.063,0.356,3.542,6.155,-0.722
0.044 sec,-380.656,1001.335,65.718,11.907,-0.666,215.285,-1.873,-0.555,1.61,0,-0,-0,9.01,-9.246,246.066,-173.848,-0.346,0.322,0.37,4.646,7.685,-9.797,-0.337,0.052,0.363,-3.743,0.622,0.715,-0.391,0.063,0.355,3.551,6.213,-0.842
0.045 sec,-383.056,1000.372,69.738,11.511,-0.388,215.403,-1.916,-0.567,1.667,0,-0,-0,9.245,-9.41,237.554,-165.381,-0.345,0.322,0.37,4.694,7.757,-10.141,-0.337,0.052,0.363,-3.869,0.573,0.634,-0.391,0.063,0.355,3.565,6.251,-0.951
0.046 sec,-384.229,1000.709,74.05,11.101,-0.175,215.584,-1.959,-0.58,1.725,0,-0,-0,9.483,-9.575,229.836,-157.113,-0.343,0.322,0.37,4.747,7.816,-10.491,-0.337,0.052,0.363,-3.99,0.512,0.548,-0.39,0.064,0.355,3.583,6.276,-1.062
0.047 sec,-384.367,1002.228,78.223,10.702,-0.03,215.83,-2,-0.592,1.781,0,-0,-0,9.71,-9.728,223.313,-149.491,-0.341,0.322,0.369,4.803,7.86,-10.823,-0.337,0.052,0.362,-4.099,0.443,0.465,-0.39,0.064,0.354,3.605,6.288,-1.168
0.048 sec,-383.615,1005.556,83.06,10.335,0.016,216.195,-2.038,-0.604,1.835,0,-0,-0,9.926,-9.872,217.858,-142.393,-0.34,0.322,0.369,4.86,7.891,-11.139,-0.337,0.053,0.362,-4.197,0.369,0.386,-0.39,0.064,0.354,3.629,6.288,-1.267
