time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz,talus_r_X,talus_r_Y,talus_r_Z,talus_r_Ox,talus_r_Oy,talus_r_Oz
0.073 sec,-315.9,1128.92,-77.794,34.553,22.051,243.243,4.774,0.921,1.9,14.062,3.631,3.928,17.262,29.121,142.985,265.699,-0.316,0.31,0.419,5.46,-8.045,-15.425,-0.332,0.045,0.382,26.194,6.943,-1.686,-0.386,0.059,0.385,3.266,-10.79,1.123
0.074 sec,-313.384,1132.701,-75.953,34.754,22.656,244.346,4.858,0.955,1.927,14.359,3.764,4.004,17.402,29.37,142.676,241.039,-0.316,0.31,0.419,5.493,-8.145,-15.554,-0.332,0.045,0.382,26.402,6.978,-1.693,-0.386,0.058,0.385,3.277,-10.91,1.123
0.075 sec,-311.033,1135.751,-72.127,34.935,23.019,245.42,4.935,0.987,1.958,14.631,3.892,4.091,17.551,29.609,142.199,214.996,-0.315,0.309,0.42,5.532,-8.249,-15.69,-0.332,0.045,0.382,26.605,7.003,-1.695,-0.385,0.058,0.385,3.293,-11.035,1.125
0.076 sec,-309.107,1138.316,-67.45,35.077,23.118,246.378,4.993,1.012,1.99,14.841,3.997,4.179,17.689,29.806,141.597,191.315,-0.315,0.309,0.42,5.571,-8.342,-15.815,-0.332,0.044,0.383,26.776,7.015,-1.691,-0.385,0.058,0.386,3.311,-11.147,1.128
0.077 sec,-307.161,1140.401,-61.595,35.183,23.009,247.268,5.04,1.033,2.024,15.011,4.089,4.274,17.826,29.98,140.808,168.152,-0.314,0.309,0.421,5.613,-8.432,-15.938,-0.331,0.044,0.383,26.932,7.018,-1.682,-0.385,0.058,0.386,3.332,-11.256,1.132
0.078 sec,-305.126,1142.234,-54.059,35.274,22.617,248.144,5.076,1.051,2.064,15.15,4.172,4.381,17.972,30.143,139.714,144.21,-0.313,0.308,0.422,5.661,-8.524,-16.069,-0.331,0.044,0.383,27.083,7.011,-1.668,-0.385,0.058,0.386,3.358,-11.369,1.136
0.079 sec,-303.257,1143.673,-46.188,35.332,22.064,248.901,5.099,1.063,2.103,15.239,4.235,4.486,18.107,30.273,138.437,122.904,-0.313,0.308,0.422,5.709,-8.607,-16.189,-0.331,0.044,0.383,27.208,6.995,-1.651,-0.385,0.058,0.386,3.385,-11.471,1.141
0.08 sec,-301.431,1144.769,-37.607,35.357,21.338,249.574,5.11,1.072,2.143,15.29,4.284,4.593,18.238,30.38,136.905,103.053,-0.312,0.308,0.422,5.758,-8.684,-16.306,-0.331,0.044,0.383,27.318,6.972,-1.631,-0.385,0.058,0.386,3.414,-11.566,1.145
0.081 sec,-299.375,1145.69,-27.244,35.356,20.366,250.219,5.112,1.076,2.188,15.308,4.323,4.714,18.379,30.476,134.905,82.811,-0.312,0.307,0.423,5.813,-8.764,-16.432,-0.331,0.044,0.383,27.423,6.938,-1.608,-0.385,0.058,0.386,3.447,-11.666,1.15
0.082 sec,-297.229,1146.203,-16.058,35.33,19.224,250.769,5.102,1.076,2.235,15.289,4.347,4.837,18.517,30.552,132.512,64.145,-0.311,0.307,0.423,5.87,-8.839,-16.556,-0.331,0.044,0.383,27.514,6.898,-1.582,-0.385,0.057,0.386,3.483,-11.76,1.154
0.083 sec,-295.091,1146.492,-4.675,35.287,17.953,251.231,5.084,1.073,2.282,15.239,4.359,4.96,18.651,30.608,129.746,47.306,-0.311,0.307,0.424,5.928,-8.909,-16.678,-0.331,0.044,0.383,27.592,6.852,-1.556,-0.385,0.057,0.386,3.52,-11.848,1.156
0.084 sec,-293.195,1146.889,5.633,35.239,16.648,251.617,5.059,1.066,2.327,15.167,4.358,5.077,18.773,30.647,126.765,32.957,-0.31,0.306,0.424,5.984,-8.969,-16.79,-0.331,0.044,0.383,27.655,6.804,-1.531,-0.385,0.057,0.386,3.557,-11.926,1.158
0.085 sec,-291.377,1147.075,16.358,35.169,15.173,251.955,5.026,1.056,2.375,15.067,4.347,5.202,18.901,30.673,123.194,19.257,-0.31,0.306,0.424,6.044,-9.029,-16.909,-0.331,0.044,0.383,27.713,6.749,-1.505,-0.385,0.057,0.386,3.597,-12.002,1.157
0.086 sec,-289.649,1146.971,27.249,35.077,13.606,252.21,4.986,1.043,2.423,14.946,4.326,5.326,19.025,30.686,119.19,6.973,-0.309,0.306,0.425,6.105,-9.084,-17.027,-0.331,0.044,0.383,27.763,6.69,-1.481,-0.385,0.057,0.386,3.639,-12.075,1.155
0.087 sec,-288.112,1146.545,37.249,34.97,12.089,252.367,4.945,1.028,2.468,14.816,4.298,5.442,19.139,30.688,115.043,-3.12,-0.309,0.306,0.425,6.164,-9.131,-17.137,-0.331,0.044,0.383,27.803,6.633,-1.459,-0.385,0.057,0.386,3.679,-12.137,1.151
0.088 sec,-286.782,1145.682,46.522,34.841,10.563,252.437,4.9,1.012,2.512,14.676,4.263,5.555,19.248,30.681,110.594,-11.827,-0.308,0.305,0.425,6.222,-9.174,-17.246,-0.331,0.044,0.383,27.837,6.573,-1.44,-0.385,0.057,0.386,3.72,-12.194,1.144
0.089 sec,-285.657,1144.211,55.371,34.68,8.944,252.415,4.85,0.992,2.558,14.517,4.219,5.672,19.36,30.664,105.512,-19.737,-0.308,0.305,0.425,6.284,-9.214,-17.36,-0.331,0.044,0.383,27.869,6.509,-1.424,-0.385,0.057,0.386,3.764,-12.249,1.133
0.09 sec,-284.866,1142.212,62.987,34.497,7.381,252.303,4.799,0.972,2.602,14.355,4.172,5.782,19.464,30.641,100.225,-26.343,-0.307,0.305,0.426,6.345,-9.249,-17.47,-0.331,0.044,0.383,27.895,6.446,-1.411,-0.385,0.057,0.385,3.807,-12.298,1.12
0.091 sec,-284.418,1139.608,69.387,34.293,5.891,252.088,4.748,0.951,2.644,14.192,4.12,5.888,19.561,30.612,94.75,-31.838,-0.307,0.305,0.426,6.405,-9.28,-17.578,-0.331,0.044,0.383,27.919,6.383,-1.402,-0.385,0.057,0.385,3.851,-12.341,1.103
0.092 sec,-284.235,1136.385,74.747,34.067,4.474,251.767,4.697,0.929,2.684,14.028,4.065,5.987,19.653,30.578,89.12,-36.489,-0.307,0.305,0.426,6.464,-9.306,-17.684,-0.331,0.044,0.383,27.939,6.32,-1.398,-0.385,0.057,0.385,3.894,-12.379,1.083
0.093 sec,-284.292,1132.527,79.138,33.82,3.145,251.334,4.646,0.906,2.721,13.865,4.007,6.081,19.738,30.54,83.386,-40.401,-0.306,0.305,0.426,6.522,-9.329,-17.787,-0.331,0.044,0.383,27.958,6.258,-1.398,-0.385,0.057,0.385,3.938,-12.412,1.059
0.094 sec,-284.533,1128.016,82.662,33.552,1.917,250.783,4.596,0.883,2.757,13.704,3.947,6.17,19.818,30.498,77.547,-43.778,-0.306,0.305,0.427,6.58,-9.349,-17.89,-0.331,0.044,0.383,27.976,6.196,-1.402,-0.385,0.057,0.385,3.981,-12.441,1.031
0.095 sec,-284.908,1122.866,85.379,33.265,0.807,250.112,4.547,0.86,2.79,13.546,3.885,6.254,19.891,30.453,71.669,-46.696,-0.305,0.304,0.427,6.637,-9.366,-17.99,-0.331,0.044,0.383,27.992,6.134,-1.411,-0.385,0.058,0.385,4.025,-12.466,0.999
